adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_load,cartservice_load,checkoutservice_load,currencyservice_load,emailservice_load,frontend_load,frontend-external_load,paymentservice_load,productcatalogservice_load,recommendationservice_load,shippingservice_load,adservice_latency,cartservice_latency,checkoutservice_latency,currencyservice_latency,frontend_latency,paymentservice_latency,productcatalogservice_latency,recommendationservice_latency,shippingservice_latency,time.1
1.579511862804844,4.908369456698188,1.7415849643539485,7.90511621174869,1.031338513533261,17.709138858419777,7.614895247272852,0.3683886925482094,11.610547546699912,6.611212251778001,0.6048542083162226,1.5454307803602785,95.297536,53.202944,11.583488,39.104512,42.283008,17.473536,73.74848,39.456768,9.506816,46.98112,3.100672,9.424896,54.0,78.0,2.0,292.0,2.0,50.0,50.0,2.0,466.0,48.0,20.0,0.0047394285714285,0.009938775510204,0.0489673913043478,0.0049323360184119,0.2921875000000001,0.0046666666666666,0.0062157464212678,0.0127416666666666,0.0046353808353808,1685206367
1.579511862804844,3.7935439274054072,1.7415849643539485,7.90511621174869,0.850179606387337,17.709138858419777,7.614895247272852,0.42931992255713,11.610547546699912,5.367874815678151,0.6048542083162226,1.5454307803602785,95.297536,53.202944,11.583488,39.104512,42.283008,17.473536,73.74848,39.456768,9.506816,46.98112,3.100672,9.424896,52.0,60.0,2.0,276.0,0.0,46.0,46.0,0.0,414.0,56.0,12.0,0.0047265706051873,0.0091531249999999,0.0488636363636363,0.004914189424753,0.2921875000000001,0.0046666666666666,0.0061096794468887,0.0111850828729281,0.0046371986222732,1685206368
1.5795118628048437,3.8712733156258663,1.7415849643539485,7.90511621174869,1.01592391336458,15.226268398416943,7.614895247272852,0.42931992255713,11.610547546699912,5.476134111929488,0.6133612082857733,1.5454307803602785,95.297536,53.202944,11.583488,39.104512,42.283008,17.473536,73.74848,39.456768,9.506816,46.98112,2.973696,9.424896,48.0,108.0,4.0,348.0,4.0,42.0,42.0,4.0,556.0,78.0,32.0,0.0047265706051873,0.009166682944876,0.0488636363636363,0.0049155465368075,0.3051587301587302,0.004672,0.0061188153740894,0.0111850828729281,0.0046378950407622,1685206369
1.5795118628048437,3.949002703846326,1.7415849643539485,7.90511621174869,1.01592391336458,14.931116084109949,6.010346686520304,0.42931992255713,11.610547546699912,5.584393408180825,0.6143857434901984,1.5454307803602785,95.297536,53.202944,11.583488,39.104512,42.283008,17.473536,73.74848,39.456768,9.506816,46.98112,2.973696,9.424896,40.0,48.0,0.0,232.0,0.0,32.0,32.0,0.0,276.0,40.0,14.0,0.0047265706051873,0.0091666666666666,0.0488636363636363,0.0049155462184873,0.3051587301587302,0.004672,0.0061187932118164,0.0111850828729281,0.0046378947368421,1685206370
1.5795118628048437,4.026732092066785,1.7415849643539485,7.90511621174869,1.01592391336458,14.63596376980295,6.137166424100606,0.42931992255713,11.319140862681843,6.495557775080199,0.6143857434901984,1.4989320594890403,95.297536,53.202944,11.583488,39.104512,42.283008,17.473536,73.74848,39.456768,9.506816,46.98112,2.973696,9.424896,71.238,127.579,3.957,350.069,3.969,63.618,63.618,3.969,678.916,103.702,45.818,0.0047265706051873,0.0091667073567192,0.0488636363636363,0.0049155470141824,0.3051587301587307,0.004672,0.006118770193194,0.0111850828729281,0.0046378954965494,1685206371
1.5795118628048437,4.104461480287245,1.7843410141830454,7.90511621174869,1.01592391336458,14.340811455495956,6.263986161680907,0.42931992255713,11.319140862681843,6.495557775080199,0.6143857434901984,1.4989320594890403,95.297536,53.202944,11.583488,39.104512,42.283008,17.473536,73.74848,39.456768,9.506816,46.98112,2.973696,9.424896,46.0,76.153,4.0,242.0,4.0,46.0,46.0,6.0,420.0,62.0,32.0,0.0047390753641545,0.0098933333333333,0.0489835164835164,0.004927816091954,0.3051587301587302,0.004672,0.0062910104986876,0.0122971428571428,0.0046402484472049,1685206372
1.5795118628048437,4.663763293227561,1.7843410141830454,7.90511621174869,1.01592391336458,14.04565914118896,6.39080589926121,0.42931992255713,11.319140862681843,6.495557775080199,0.6143857434901984,1.4989320594890403,95.297536,53.202944,11.583488,39.104512,42.283008,17.473536,73.74848,39.456768,9.506816,46.98112,2.973696,9.424896,60.0,108.0,4.0,312.0,4.0,52.0,52.0,4.0,644.0,92.0,38.0,0.0047277486910994,0.0092455089820359,0.0491237113402061,0.0048999651365485,0.3051587301587302,0.004672,0.006039397821909,0.0108914285714285,0.0046421052631578,1685206373
1.5795118628048437,4.047485838721649,1.7843410141830454,8.025431454942588,1.01592391336458,18.231144576066136,6.517625636841511,0.42931992255713,11.319140862681843,6.495557775080199,0.6143857434901984,1.4989320594890403,95.297536,53.202944,11.583488,40.7552,42.283008,17.801216,73.74848,39.456768,9.506816,46.98112,2.973696,9.424896,42.0,80.0,8.0,302.0,6.0,54.0,52.0,6.0,450.0,64.0,36.0,0.0047277486910994,0.0092185628742514,0.0491237113402061,0.0048993736951983,0.2987704918032787,0.0046692307692307,0.0060352338244714,0.0108914285714285,0.0046417149478563,1685206374
1.5795118628048437,3.969756450501189,1.7843410141830454,8.096189306601651,1.0108088166631892,18.231144576066136,6.644445374421812,0.42931992255713,11.319140862681843,6.495557775080199,0.6143857434901984,1.4989320594890403,95.297536,53.202944,11.583488,40.7552,42.283008,17.801216,73.74848,39.456768,9.506816,46.98112,2.973696,9.424896,54.0,108.0,0.0,338.0,0.0,44.0,44.0,0.0,566.0,88.0,20.0,0.0047277486910994,0.0092185628742514,0.0491237113402061,0.0048993736951983,0.2987704918032787,0.0046692307692307,0.0060352338244714,0.0108914285714285,0.0046417149478563,1685206375
1.5795118628048437,3.892027062280729,1.7843410141830454,8.096189306601651,1.0108088166631892,18.231144576066136,6.725229547260465,0.42931992255713,9.501192513961282,6.495557775080199,0.6143857434901984,1.4989320594890403,95.297536,53.202944,11.583488,40.7552,42.283008,17.801216,73.74848,39.456768,9.506816,46.98112,2.973696,9.424896,44.405,68.694,0.0,158.0,3.356,29.94,40.0,3.289,459.545,67.545,25.231,0.0047277486910994,0.0092186366818363,0.0491237113402061,0.0048993751121308,0.2987704918032792,0.0046692307692307,0.0060352461773206,0.0108914285714285,0.0046417164977173,1685206376
